Status,Excel Row,Parent Code,Parent Description,Expected RM Code,Excel RM Code Cell,Expected Role,DB Role,Expected Alternate Flag,DB Alternate Flag,Excel Qty Raw,Expected Qty,DB Qty,Excel UOM,DB UOM,Excel RM Description,DB RM Description,DB items.material,DB RM Item Type,DB RM Size,DB Make/Buy,Excel Parent BOM,DB BOM No,DB Cutting Size,DB Link ID,DB Link Count
QUANTITY_MISMATCH,331,NAINR0000247,Inner Ring of N7033 - 110 x 155 x 44,NRRBR0000108,NRRBR0000108,NORMAL,NORMAL,0,0,100/97,97,100,mm,mm,Round Bar EN9 110 MM,Round Bar EN9 110 MM,,PART,,I,B0000256,B0000256,98 mm,22210,1
NORMAL_ALTERNATE_FLAG_MISMATCH,3108,NAINR0000248,Inner Ring of N7033 - 120 x 165 x 44,NRRBR0000150,NRRBR0000150,NORMAL,ALTERNATE,0,1,91,91,91,mm,mm,Round Bar 4140 120 MM,Round Bar 4140 120 MM,,PART,,I,B0001976,B0001976,89 mm,23388,1
NORMAL_ALTERNATE_FLAG_MISMATCH,2253,NAINR0000250,Inner Ring of N7033 - 140 x 190 x 54,NRRBR0000132,NRRBR0000132 / NRRBR0000228,ALTERNATE,NORMAL,1,0,99/94,99,99,mm,mm,Round Bar EN19 145 MM,Round Bar EN9 140 MM,,PART,CUTTING SIZE - 23mm,I,B0000473,,97 mm,33213,1
NORMAL_ALTERNATE_FLAG_MISMATCH,592,NAINR0000250,Inner Ring of N7033 - 140 x 190 x 54,NRRBR0000228,NRRBR0000228,NORMAL,ALTERNATE,0,1,94,94,94,mm,mm,Round Bar EN19 145 MM,Round Bar EN19 145 MM,,PART,,I,B0000473,B0000473,92 mm,22539,1
UOM_MISMATCH,19741,NAINR0000258,Inner Ring of N7036 ID 35 x OD 65,NRRBR0000124,NRRBR0000124,NORMAL,NORMAL,0,0,54,54,54,mm,Kg.,Round Bar EN19 85 MM,Round Bar EN19 85 MM,,PART,,I,B0009479,B0009479,,35867,1
UOM_MISMATCH,23957,NAINR0000326,Inner Ring of N7139 - 22 x 44 x 20,NRRBR0000116,NRRBR0000116,NORMAL,NORMAL,0,0,26,26,26,mm,Kg.,Round Bar EN9 56 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,B0011252,B0011252,,40055,1
UOM_MISMATCH,30802,NAINR0000327,Inner Ring of N7139 - 24 x 46 x 20,NRRBR0000116,NRRBR0000116,NORMAL,NORMAL,0,0,26,26,26,mm,Kg.,Round Bar EN9 56 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,B0013948,B0013948,,40173,1
UOM_MISMATCH,8823,NAINR0000328,Inner Ring of N7139 - 25 x 47 x 20,NRRBR0000116,NRRBR0000116,NORMAL,NORMAL,0,0,26,26,26,mm,Kg.,Round Bar EN9 56 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,B0004817,B0004817,,24683,1
RAW_MATERIAL_ITEM_MISSING,27814,NAINR0000329,Inner Ring of N7139 - 28 x 50 x 20,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,26,26,26,mm,mm,Round Bar EN9 60 MM,,,,,I,B0012859,B0012859,24 mm,40125,1
NORMAL_ALTERNATE_FLAG_MISMATCH | RAW_MATERIAL_ITEM_MISSING,6211,NAINR0000330,Inner Ring of N7139 - 30 x 52 x 20,NRRBR0000100,NRRBR0000100,NORMAL,ALTERNATE,0,1,26,26,26,mm,mm,Round Bar EN9 60 MM,,,,,I,B0006125,B0006125,24 mm,34290,1
RAW_MATERIAL_ITEM_MISSING,6670,NAINR0000330,Inner Ring of N7139 - 30 x 52 x 20,NRRBR0000100,NRRBR0000102 / NRRBR0000100,ALTERNATE,ALTERNATE,1,1,25/26,26,26,mm,mm,RoundBar EN9 65 MM / Round Bar EN9 60 MM,,,,,I,B0006125,B0006125,24 mm,34290,1
UOM_MISMATCH,6670,NAINR0000330,Inner Ring of N7139 - 30 x 52 x 20,NRRBR0000102,NRRBR0000102 / NRRBR0000100,NORMAL,NORMAL,0,0,25/26,25,25,mm,Kg.,RoundBar EN9 65 MM / Round Bar EN9 60 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0006125,,,24194,1
UOM_MISMATCH,2880,NAINR0000339,Inner Ring of N7139 - 50 x 78 x 30,NRRBR0000124,NRRBR0000114 / NRRBR0000124,ALTERNATE,ALTERNATE,1,1,36,,36,mm,Kg.,Round Bar EN9 90 MM,Round Bar EN19 85 MM,,PART,,I,B0001808,,,39960,1
UOM_MISMATCH,2896,NAINR0000339,Inner Ring of N7139 - 50 x 78 x 30,NRRBR0000124,NRRBR0000114 / NRRBR0000124,ALTERNATE,ALTERNATE,1,1,35/36,36,36,mm,Kg.,Round Bar EN9 90 MM,Round Bar EN19 85 MM,,PART,,I,B0001808,,,39960,1
UOM_MISMATCH,25379,NAINR0000361,Inner Ring of N7043 - 24 x 42 x 25,NRRBR0000116,NRRBR0000116,NORMAL,NORMAL,0,0,32,32,32,mm,Kg.,Round Bar EN9 56 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,B0011926,B0011926,,27473,1
UOM_MISMATCH,17839,NAINR0000362,Inner Ring of N7043 - 25 x 43 x 25,NRRBR0000116,NRRBR0000116,NORMAL,NORMAL,0,0,32,32,32,mm,Kg.,Round Bar EN9 56 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,B0008675,B0008675,,26461,1
UOM_MISMATCH,3552,NAINR0000363,Inner Ring of N7043 - 28 x 46 x 28,NRRBR0000116,NRRBR0000116,NORMAL,NORMAL,0,0,35,35,35,mm,Kg.,Round Bar EN9 56 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,B0002280,B0002280,,23513,1
RAW_MATERIAL_ITEM_MISSING,27810,NAINR0000364,Inner Ring of N7043 - 30 x 48 x 28,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,35,35,35,mm,mm,Round Bar EN9 60 MM,,,,,I,B0012857,B0012857,33 mm,40124,1
RAW_MATERIAL_ITEM_MISSING,3901,NAINR0000365,Inner Ring of N7043 - 32 x 50 x 28,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,35,35,35,mm,mm,Round Bar EN9 60 MM,,,,,I,B0002471,B0002471,33 mm,23601,1
NORMAL_ALTERNATE_FLAG_MISMATCH,3680,NAINR0000386,Inner Ring of N7014 - 60 x 100 x 50,NRRBR0000007,NRRBR0000007,NORMAL,ALTERNATE,0,1,58,58,58,mm,mm,Round Bar EN19 80 MM,Round Bar EN19 80 MM,,PART,,I,B0002358,B0002358,56 mm,23555,1
NORMAL_ALTERNATE_FLAG_MISMATCH,3005,NAINR0000408,Inner Ring of N7015.0 - 110 x 155 x 65,NRRBR0000108,NRRBR0000108,NORMAL,ALTERNATE,0,1,118,118,118,mm,mm,Round Bar EN9 110 MM,Round Bar EN9 110 MM,,PART,,I,B0001898,B0001898,116 mm,39961,1
RAW_MATERIAL_ITEM_MISSING,6186,NAINR0000453,Inner Ring of N7040 - 45 x 75 x 64,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,70,70,70,mm,mm,Round Bar EN9 60 MM,,,,,I,B0004155,B0004155,68 mm,24376,1
UOM_MISMATCH,33409,NAINR0000454,Inner Ring of N7040 - 48 x 80 x 64,NRRBR0000102,NRRBR0000102,NORMAL,NORMAL,0,0,70,70,70,mm,Kg.,RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0015007,B0015007,,40238,1
UOM_MISMATCH | QUANTITY_MISMATCH,6191,NAINR0000455,Inner Ring of N7040 - 50 x 80 x 64,NRRBR0000102,NRRBR0000102,NORMAL,NORMAL,0,0,70/71,70,71,mm,Kg.,RoundBar EN9 65 MM,RoundBar EN9 65 MM,RoundBar EN9 65 MM,PART,CUTTING SIZE - 23 MM,I,B0004160,B0004160,,24388,1
UOM_MISMATCH,6060,NAINR0000536,Inner Ring of N250 - 15 x 24 x 36,NRRBR0000116,NRRBR0000116,NORMAL,NORMAL,0,0,42,42,42,mm,Kg.,Round Bar EN9 56 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,B0006438,B0006438,,25406,1
RAW_MATERIAL_ITEM_MISSING,6062,NAINR0000537,Inner Ring of N250 - 16 x 24 x 36,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,42,42,42,mm,mm,Round Bar EN9 60 MM,,,,,I,B0007337,B0007337,40 mm,24482,1
RAW_MATERIAL_ITEM_MISSING,4793,NAINR0000538,Inner Ring of N250 - 17 x 26 x 38,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,42,42,42,mm,mm,Round Bar EN9 60 MM,,,,,I,B0002857,B0002857,40 mm,23776,1
UOM_MISMATCH,10876,NAINR0000539,Inner Ring of N250 - 18 x 26 x 38,NRRBR0000116,NRRBR0000116,NORMAL,NORMAL,0,0,42,42,42,mm,Kg.,Round Bar EN9 56 MM,Round Bar EN9 56 MM,,PART,CUTTING SIZE - 55mm,I,B0005822,B0005822,,25190,1
RAW_MATERIAL_ITEM_MISSING,8624,NAINR0000540,Inner Ring of N250 - 19 x 27 x 38,NRRBR0000100,NRRBR0000100,NORMAL,NORMAL,0,0,42/41,41,41,mm,mm,Round Bar EN9 60 MM,,,,,I,B0004732,B0004732,39 mm,24614,1
