Decision,DB Link ID,Parent Code,RM Code,Current DB UOM,Excel UOM,DB Qty,DB Alternate,Remark
SAFE_TO_FIX,23261,NCONS0000899,NRRBR0000116,Kg.,mm,48.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23267,NCONS0000898,NRRBR0000102,Kg.,mm,56.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23337,NCONS0000918,NRRBR0000112,Kg.,mm,46.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23383,NAINR0000125,NRRBR0000116,Kg.,mm,46.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23422,NAOTR0000466,NRRBR0000598,Kg.,mm,155.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23501,NAOTR0000630,NRRBR0000116,Kg.,mm,34.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23513,NAINR0000363,NRRBR0000116,Kg.,mm,35.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23514,NAOTR0000324,NRRBR0000116,Kg.,mm,26.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23540,NCONS0001040,NRRBR0000116,Kg.,mm,104.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23564,NAINR0000586,NRRBR0000124,Kg.,mm,92.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23602,NAOTR0000326,NRRBR0000116,Kg.,mm,26.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23680,NAOTR0000465,NRRBR0000598,Kg.,mm,143.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23728,NAINR0000190,NRRBR0000116,Kg.,mm,33.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23729,NAOTR0000190,NRRBR0000116,Kg.,mm,25.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23793,NCONS0000871,NRRBR0000116,Kg.,mm,71.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23835,NAFRN0000185,NRRBR0000102,Kg.,mm,24.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23836,NAOTR0000445,NRRBR0000102,Kg.,mm,48.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23837,NARRN0000185,NRRBR0000102,Kg.,mm,24.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23844,NAOTR0000641,NRRBR0000124,Kg.,mm,60.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23905,NAINR0000196,NRRBR0000102,Kg.,mm,34.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,23999,NAINR0000137,NRRBR0000124,Kg.,mm,55.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24023,NAOTR0000260,NRRBR0000102,Kg.,mm,25.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24072,NAOTR0000264,NRRBR0000102,Kg.,mm,26.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24194,NAINR0000330,NRRBR0000102,Kg.,mm,25.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24195,NAOTR0000291,NRRBR0000102,Kg.,mm,20.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24388,NAINR0000455,NRRBR0000102,Kg.,mm,71.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24543,NCONS0001081,NRRBR0000116,Kg.,mm,104.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24577,NAINR0000115,NRRBR0000116,Kg.,mm,34.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24593,NAOTR0000622,NRRBR0000112,Kg.,mm,29.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24615,NAOTR0000629,NRRBR0000116,Kg.,mm,34.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24678,NAINR0000572,NRRBR0000112,Kg.,mm,67.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24683,NAINR0000328,NRRBR0000116,Kg.,mm,26.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24799,NAOTR0000822,NRRBR0000124,Kg.,mm,29.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,24898,NAINR0000159,NRRBR0000102,Kg.,mm,46.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25156,NAINR0000118,NRRBR0000102,Kg.,mm,36.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25181,NAINR0000898,NRRBR0000102,Kg.,mm,34.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25182,NAOTR0000855,NRRBR0000102,Kg.,mm,26.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25190,NAINR0000539,NRRBR0000116,Kg.,mm,42.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25230,NAFRN0000188,NRRBR0000124,Kg.,mm,27.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25231,NAOTR0000448,NRRBR0000124,Kg.,mm,52.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25232,NARRN0000188,NRRBR0000124,Kg.,mm,27.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25278,NCONS0001167,NRRBR0000112,Kg.,mm,256.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25298,NAINR0000921,NRRBR0000112,Kg.,mm,51.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25299,NAOTR0000918,NRRBR0000102,Kg.,mm,51.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25406,NAINR0000536,NRRBR0000116,Kg.,mm,42.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25626,NAINR0000189,NRRBR0000116,Kg.,mm,33.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25662,NAINR0000969,NRRBR0000112,Kg.,mm,40.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25665,NCONS0001291,NRRBR0000112,Kg.,mm,65.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25766,NAINR0000984,NRRBR0000598,Kg.,mm,110.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25767,NAOTR0000985,NRRBR0000598,Kg.,mm,110.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,25836,NAINR0000992,NRRBR0000116,Kg.,mm,25.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26064,NAINR0001007,NRRBR0000116,Kg.,mm,31.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26198,NAFRN0000186,NRRBR0000124,Kg.,mm,27.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26199,NAOTR0000446,NRRBR0000124,Kg.,mm,52.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26200,NARRN0000186,NRRBR0000124,Kg.,mm,24.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26216,NCONS0001367,NRRBR0000116,Kg.,mm,50.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26221,NAINR0000224,NRRBR0000102,Kg.,mm,34.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26264,NAINR0001030,NRRBR0000102,Kg.,mm,42.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26304,NAINR0001028,NRRBR0000124,Kg.,mm,103.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26306,NAFRN0000616,NRRBR0000124,Kg.,mm,39.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26346,NAORC0000322,NRRBR0000112,Kg.,mm,256.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26427,NAFRN0000372,NRRBR0000124,Kg.,mm,31.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26429,NARRN0000374,NRRBR0000124,Kg.,mm,31.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26461,NAINR0000362,NRRBR0000116,Kg.,mm,32.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26462,NAOTR0000323,NRRBR0000116,Kg.,mm,24.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26606,NAINR0001058,NRRBR0000102,Kg.,mm,31.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26609,NCONS0001394,NRRBR0000112,Kg.,mm,50.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26616,NCONS0001407,NRRBR0000112,Kg.,mm,257.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26619,NCONS0001408,NRRBR0000112,Kg.,mm,208.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26624,NAINR0001064,NRRBR0000102,Kg.,mm,45.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26679,NCONS0001438,NRRBR0000112,Kg.,mm,226.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26682,NCONS0001439,NRRBR0000112,Kg.,mm,191.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26770,NAINR0001081,NRRBR0000116,Kg.,mm,32.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,26771,NAOTR0001089,NRRBR0000112,Kg.,mm,32.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,27447,NAOTR0000266,NRRBR0000102,Kg.,mm,26.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,27468,NAINR0000157,NRRBR0000102,Kg.,mm,46.000,0,Change UOM only: Kg. -> mm
SAFE_TO_FIX,27473,NAINR0000361,NRRBR0000116,Kg.,mm,32.000,0,Change UOM only: Kg. -> mm
